name	type	shape	n_elements	n_bytes
output.weight	Q6_K	5120,248320	1271398400	1042944000
output_norm.weight	F32	5120	5120	20480
token_embd.weight	Q4_K	5120,248320	1271398400	715161600
blk.0.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.0.attn_norm.weight	F32	5120	5120	20480
blk.0.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.0.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.0.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.0.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.0.post_attention_norm.weight	F32	5120	5120	20480
blk.0.ssm_a	F32	48	48	192
blk.0.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.0.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.0.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.0.ssm_dt.bias	F32	48	48	192
blk.0.ssm_norm.weight	F32	128	128	512
blk.0.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.1.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.1.attn_norm.weight	F32	5120	5120	20480
blk.1.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.1.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.1.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.1.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.1.post_attention_norm.weight	F32	5120	5120	20480
blk.1.ssm_a	F32	48	48	192
blk.1.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.1.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.1.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.1.ssm_dt.bias	F32	48	48	192
blk.1.ssm_norm.weight	F32	128	128	512
blk.1.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.2.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.2.attn_norm.weight	F32	5120	5120	20480
blk.2.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.2.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.2.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.2.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.2.post_attention_norm.weight	F32	5120	5120	20480
blk.2.ssm_a	F32	48	48	192
blk.2.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.2.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.2.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.2.ssm_dt.bias	F32	48	48	192
blk.2.ssm_norm.weight	F32	128	128	512
blk.2.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.3.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.3.attn_k_norm.weight	F32	256	256	1024
blk.3.attn_norm.weight	F32	5120	5120	20480
blk.3.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.3.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.3.attn_q_norm.weight	F32	256	256	1024
blk.3.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.3.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.3.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.3.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.3.post_attention_norm.weight	F32	5120	5120	20480
blk.4.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.4.attn_norm.weight	F32	5120	5120	20480
blk.4.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.4.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.4.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.4.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.4.post_attention_norm.weight	F32	5120	5120	20480
